PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
hzM1v,6rk/pb4r1/1p2p2p/3pR3/2pP1qP1/2P2p1P/PPQ2P1K/1B2R3 w - - 2 31,h2g1 f4g4 h3g4 g7g4 g1f1 g4g1,2759,99,88,186,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/KxQ0In87#61,
lrjUw,r3r3/ppp3pp/3pN3/n2P1k2/6n1/5Q2/P4P2/q1B1R1K1 b - - 1 25,f5g6 e6f8 e8f8 f3g4 g6f7 g4e6,2757,112,95,6596,dovetailMate exposedKing long mate mateIn3 middlegame,https://lichess.org/4wJBxlvz/black#50,
JlhRe,8/P5k1/3r4/5p2/1P3P1p/RR2P1Pp/4K2r/8 w - - 4 45,e2f3 d6g6 g3g4 g6g4 e3e4 g4g3,2755,94,87,297,endgame long mate mateIn3 rookEndgame,https://lichess.org/ct1jCpaq#89,
ApmaF,r2b1rk1/6pp/1pR5/pQ1Pp3/4P3/P1R1NN1P/1P2nqPK/8 w - - 9 31,c3c2 f8f3 c2e2 f3h3 h2h3 f2h4,2749,85,88,526,attraction long mate mateIn3 middlegame pin sacrifice,https://lichess.org/J13PjXWc#61,
Jw826,8/p3R2p/1p4pk/8/5NPP/3p2K1/r1n5/8 b - - 1 39,g6g5 h4g5 h6g5 e7e6 d3d2 f4h3,2744,94,87,555,endgame long mate mateIn3,https://lichess.org/lwrsxvW7/black#78,
qjHPZ,rn1r4/2b1kp2/p1q1pNp1/1p1pP3/4NP1Q/P7/1PP3PP/3R2K1 b - - 1 27,d5e4 d1d7 b8d7 f6d5 e7f8 h4h8,2741,93,88,101,doubleCheck long mate mateIn3 middlegame sacrifice,https://lichess.org/BRc8Tr78/black#54,
IeUqw,3k1r2/ppp3Qp/4Rn2/2brN3/5P2/5K2/q5PP/4R3 b - - 2 29,f6h5 e6d6 d5d6 g7f8,2734,97,88,584,interference mate mateIn2 middlegame short,https://lichess.org/Cy3KNelL/black#58,
Ez6GI,r1b1k2r/pp3ppp/4p3/2bpPn2/8/5N1P/Pq1BQPP1/RN2KB1R w KQkq - 2 12,d2c3 b2c1 e2d1 c5f2 e1f2 c1e3,2732,103,91,4193,attackingF2F7 attraction deflection long mate mateIn3 middlegame sacrifice,https://lichess.org/fwn5qcxZ#23,French_Defense French_Defense_Advance_Variation
aBDCo,5r2/2Q1n2k/p2p2p1/P3prqp/1PN5/2PPP2P/6PK/R6R w - - 1 25,c4d6 g5g2 h2g2 f5g5 g2h2 f8f2,2720,100,94,3321,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/MROpibqT#49,
woUnQ,8/2N1bk1R/1N4p1/p3p3/2K1P3/3P2n1/Prp5/8 b - - 1 40,f7f6 b6d7 f6g5 c7e6 g5g4 d7e5,2719,111,91,1782,endgame long mate mateIn3,https://lichess.org/nTY6gixu/black#80,
YBN2H,3k3r/pp1P2p1/6p1/P1Pp4/5q2/3B3r/2Q2PP1/R4RK1 w - - 1 24,g2h3 f4g5 g1h2 g5g4 f2f3 h8h3,2712,95,95,2842,endgame long mate mateIn3 pin,https://lichess.org/nWcQ44kR#47,
XGpvl,6R1/1pNr4/k6p/2P4q/1p2Q3/1Pb5/P3p3/1K6 b - - 7 47,d7c7 e4e6 c7c6 g8a8 a6b5 e6c4,2705,112,90,706,endgame exposedKing long master mate mateIn3 pin,https://lichess.org/OHODmJoC/black#94,
6psXs,r1q4r/pbpR1pkp/1p2pNp1/5nQ1/2P2P2/8/PP2B1PP/5RK1 b - - 6 22,h7h6 g5g6 g7g6 e2h5 g6g7 d7f7,2701,92,91,1525,attraction long mate mateIn3 middlegame pin sacrifice,https://lichess.org/iUjZnhWt/black#44,
